Id,Designator,Package,Quantity,Designation,Supplier and ref
Control Board,,,,,
1,D4,SOD-523-2,1,D,
2,F1,MRF2,1,FUSE,
3,L1,SRU1048-151Y,1,150u,
4,Q1,to263,1,IPB50R199CP,
5,"R18,R8,R9",R_0805_HandSoldering,3,330,
6,U2,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,MCP7940N,
7,D6,SOT-323,1,D_Schottky_x2_ACom_KKA,
8,"C1,C3,C9,C10,C11,C12,C13,C17,C24,C25",C_0805_HandSoldering,10,0.1uF,
9,C2,TantalC_SizeD_EIA-7343_HandSoldering,1,68uF,
10,"C4,C16",C_0805_HandSoldering,2,100pF,
11,"C5,C6,C7,C8",C_Radial_D12.5_L25_P5,4,47uF,
12,"C18,C19",C_0805_HandSoldering,2,0.1u,
13,"C20,C21",C_Radial_D6.3_L11.2_P2.5,2,22uF,
14,"C22,C23",C_0805_HandSoldering,2,10uF,
15,D1,DO-214AA-2,1,D,
16,IC1,TQFP-32_7x7mm_Pitch0.8mm,1,ATMEGA168A-A,
17,L2,ind_2518,1,LBR2518T2R2M,
18,P2,Pin_Header_Straight_2x06,1,CONN_02X06,
19,"R1,R2,R10,R13,R15,R16",R_0805_HandSoldering,6,10k,
20,R3,R_0805_HandSoldering,1,0.1,
21,R4,R_1206_HandSoldering,1,1.123MEG,
22,"R6,R7",R_0805_HandSoldering,2,100,
23,"R11,R12",R_0805_HandSoldering,2,2k,
24,R14,R_0805_HandSoldering,1,1k,
25,R17,R_0805_HandSoldering,1,33.2k,
26,U1,PDIP-8,1,MAX1771,
27,"U3,U4",SOIC-16_3.9x9.9mm_Pitch1.27mm,2,74HC595,
28,U5,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,TPS563208,
29,P1,Pin_Header_Straight_2x12,1,CONN_02X12,
30,"P4,P5,P6,P7",MountingHole_3.2mm_M3_ISO7380_Pad,4,CONN_01X01,
31,"SW1,SW2,SW3,SW4",FSMRA5JH,4,SW_LPH_PUSH,
32,"D2,D3,D5",LED_0603,3,LTST-C190GKT,
33,R5,R_0805_HandSoldering,1,18k,
34,"C14,C15",C_0603_HandSoldering,2,11pF,
35,Y1,ABS25,1,32.768kHz,
36,P3,IDC_Header_Straight_10pins,1,CONN_02X05,
37,BT1,smtu2032-c,1,BATTERY,
38,CON1,161-0725-E,1,161-0725-E,
Tube Shield,,,,,
1,"NX2,NX1,NX4,NX3",pl27-1pd,4,IN-8,
2,"P5,P4,P3",MountingHole_3.2mm_M3_ISO14580_Pad,3,CONN_01X01,
3,P2,MountingHole_3.2mm_M3_ISO7380_Pad,1,CONN_01X01,
4,"R43,R42,R41,R40,R39,R38,R37,R36,R35,R34,R33,R32,R13,R12,R7,R6",R_0805_HandSoldering,16,4.7k,
5,"R31,R30",R_0805_HandSoldering,2,24k,
6,"R17,R16,R11,R10",R_0805_HandSoldering,4,12k,
7,"R15,R14,R9,R8",R_0805_HandSoldering,4,100k,
8,"Q21,Q20,Q19,Q18,Q17,Q16,Q15,Q14,Q13,Q11,Q10,Q7,Q6,Q3,Q2,Q12",SOT-23_Handsoldering,16,MPSA42,
9,"Q9,Q8,Q5,Q4",SOT-23_Handsoldering,4,MPSA92,
10,P1,Pin_Header_Straight_2x12,1,CONN_02X12,
11,"N2,N1",neon_ind,2,C2A,
,,,,,
,,,,,
,,,130,,
