"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"NX2,NX1,NX4,NX3";"pl27-1pd";4;"IN-8";;;
2;"P5,P4,P3";"MountingHole_3.2mm_M3_ISO14580_Pad";3;"CONN_01X01";;;
3;"P2";"MountingHole_3.2mm_M3_ISO7380_Pad";1;"CONN_01X01";;;
4;"R43,R42,R41,R40,R39,R38,R37,R36,R35,R34,R33,R32,R13,R12,R7,R6";"R_0805_HandSoldering";16;"4.7k";;;
5;"R31,R30";"R_0805_HandSoldering";2;"24k";;;
6;"R17,R16,R11,R10";"R_0805_HandSoldering";4;"12k";;;
7;"R15,R14,R9,R8";"R_0805_HandSoldering";4;"100k";;;
8;"Q21,Q20,Q19,Q18,Q17,Q16,Q15,Q14,Q13,Q11,Q10,Q7,Q6,Q3,Q2,Q12";"SOT-23_Handsoldering";16;"MPSA42";;;
9;"Q9,Q8,Q5,Q4";"SOT-23_Handsoldering";4;"MPSA92";;;
10;"P1";"Pin_Header_Straight_2x12";1;"CONN_02X12";;;
11;"N2,N1";"neon_ind";2;"C2A";;;
