Id,Designator,Package,Quantity,Designation,Supplier and ref,QTY
1,"W2,W1",Measurement_Point_Round-TH_Big,2,TEST_1P,,
2,P2,Pin_Header_Straight_2x05,1,CONN_02X05,,
3,"R19,R18,R6,R7,R8,R9",R_0805_HandSoldering,6,330,ESR10EZPJ331,5
4,Q3,SOT-23_Handsoldering,1,MMBTA42,MMBTA42LT1G,1
5,"D7,D2,D3,D5",LED_0603,4,LTST-C190GKT,LTST-C190GKT,4
6,P1,Pin_Header_Straight_2x12_isolate_hv,1,CONN_02X12_isolate_hv,2324-6121TG,1
7,D4,SOD-523-2,1,D,XBS053V15R-G,1
8,F1,MRF2,1,FUSE,MRF 2,1
9,U2,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,MCP7940N,MCP7940N-I/SN,1
10,D6,SOT-323,1,D_Schottky_x2_ACom_KKA,MMBD717LT1G,1
11,"C1,C3,C9,C10,C11,C12,C13,C17,C24",C_0805_HandSoldering,9,0.1uF,C0805C104K3RACTU,9
12,"C4,C16",C_0805_HandSoldering,2,100pF,GRM21A5C2E101JW01D,2
13,"C5,C6",C_Radial_D12.5_L25_P5,2,47uF,EKXJ351ELL470MK25S,1
14,"C18,C19",C_0805_HandSoldering,2,0.1u,C0805C104K3RACTU,2
15,"C22,C23",C_0805_HandSoldering,2,10uF,08053D106KAT2A,2
16,D1,DO-214AA-2,1,D,ES2F,1
17,IC1,TQFP-32_7x7mm_Pitch0.8mm,1,ATMEGA168A-A,,
18,"R1,R2,R10,R13",R_0805_HandSoldering,4,10k,CRCW080510K0FKEA,4
19,R4,R_1206_HandSoldering,1,1.5MEG,RV1206JR-071M5L,1
20,"R11,R12",R_0805_HandSoldering,2,2k,RK73H2ATTD2001F,2
21,"R14,R20",R_0805_HandSoldering,2,1k,AS08J1001ET,3
22,"U3,U4",SOIC-16_3.9x9.9mm_Pitch1.27mm,2,74HC595,"74HC595D-Q100,118",2
23,"P4,P5,P6,P7",MountingHole_3.2mm_M3_ISO7380_Pad,4,CONN_01X01,,
24,R5,R_0805_HandSoldering,1,1.5k,ESR10EZPJ152,1
25,"C14,C15",C_0603_HandSoldering,2,11pF,GRM1885C1H110FA01D,2
26,Y1,ABS25,1,32.768kHz,ABS25-32.768KHZ-6-T,1
27,P3,IDC_Header_Straight_10pins,1,CONN_02X05,,
28,U1,SOIC-8-N,1,MAX1771,,
29,C2,C_1210_HandSoldering,1,10uF,TCJB106M025R0150,1
30,C20,c_elec_6.3x7.7,1,100uF,EMZJ250ADA101MF80G,1
31,R3,R_2512_HandSoldering,1,0.05,CRL2512-FW-R050ELF,1
32,R17,R_1206_HandSoldering,1,470k,ERJ-P08J474V,1
33,Q1,TO-220_Neutral123_Vertical,1,IRF644PBF,IRF644PBF,1
34,U6,Optocoupler_SMD_LTV-817S,1,LTV-817,LTV-817S-TA1,1
35,BT1,smtu2032-c,1,BATTERY,SMTU2032-C.TR,1
36,CON1,161-0725-E,1,161-0725-E,161-0725-E,1
37,"SW4,SW3,SW2,SW1",FSMRA5JH,4,SW_LPH_PUSH,FSMRA3JH + 2-1825027-0,4
38,U5,R-78E5.0-0.5,1,R-78E5.0-0.5,R-78E5.0-0.5,1
39,R16,67ZR5KLF,1,RVAR-TRIM,T93YB502KT20,1
40,L1,B82479A1104M,1,100u,B82479A1104M,1
41,W3,Test_Point_Keystone_5019_Minature,1,TEST_1P,5019,1
,,,,,,
1,"U4,U3,U2,U1",DIP-16_W7.62mm_LongPads,4,K155ID1,,
2,P1,Pin_Header_Straight_2x12_isolate_hv,1,CONN_02X12_isolate_hv,929975-01-12-RK,1
3,"N1,N2",neon_ind,2,C2A,,
4,"R32,R33",R_0805_HandSoldering,2,4.7k,ERJ-6GEYJ472V,10
5,P2,MountingHole_3.2mm_M3_ISO7380_Pad,1,CONN_01X01,,
6,"P3,P4,P5",MountingHole_3.2mm_M3_ISO14580_Pad,3,CONN_01X01,,
7,"Q1,Q2",SOT-23_Handsoldering,2,MMBTA42,MMBTA42LT1G,2
8,"R1,R2, R3, R10",R_1206_HandSoldering,3,15k,ERJ-P08J153V,4
9,"R30,R31",R_1206_HandSoldering,2,100k,ERJ-P08J104V,2
10,"C1,C2,C3,C4",C_0805_HandSoldering,4,0.1u,C0805C104K3RACTU,4
11,"NX3,NX4,NX2,NX1",pl27-1pd,4,IN-8,,
12,,,,,,
