"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"W2,W1";"Measurement_Point_Round-TH_Big";2;"TEST_1P";;;
2;"P2";"Pin_Header_Straight_2x05";1;"CONN_02X05";;;
3;"R19,R18,R6,R7,R8,R9";"R_0805_HandSoldering";6;"330";;;
4;"Q3";"SOT-23_Handsoldering";1;"MMBTA42";;;
5;"D7,D2,D3,D5";"LED_0603";4;"LTST-C190GKT";;;
6;"P1";"Pin_Header_Straight_2x12_isolate_hv";1;"CONN_02X12_isolate_hv";;;
7;"D4";"SOD-523-2";1;"D";;;
8;"F1";"MRF2";1;"FUSE";;;
9;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MCP7940N";;;
10;"D6";"SOT-323";1;"D_Schottky_x2_ACom_KKA";;;
11;"C1,C3,C9,C10,C11,C12,C13,C17,C24";"C_0805_HandSoldering";9;"0.1uF";;;
12;"C4,C16";"C_0805_HandSoldering";2;"100pF";;;
13;"C5,C6";"C_Radial_D12.5_L25_P5";2;"47uF";;;
14;"C18,C19";"C_0805_HandSoldering";2;"0.1u";;;
15;"C22,C23";"C_0805_HandSoldering";2;"10uF";;;
16;"D1";"DO-214AA-2";1;"D";;;
17;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA168A-A";;;
18;"R1,R2,R10,R13";"R_0805_HandSoldering";4;"10k";;;
19;"R4";"R_1206_HandSoldering";1;"1.5MEG";;;
20;"R11,R12";"R_0805_HandSoldering";2;"2k";;;
21;"R14,R20";"R_0805_HandSoldering";2;"1k";;;
22;"U3,U4";"SOIC-16_3.9x9.9mm_Pitch1.27mm";2;"74HC595";;;
23;"P4,P5,P6,P7";"MountingHole_3.2mm_M3_ISO7380_Pad";4;"CONN_01X01";;;
24;"R5";"R_0805_HandSoldering";1;"1.5k";;;
25;"C14,C15";"C_0603_HandSoldering";2;"11pF";;;
26;"Y1";"ABS25";1;"32.768kHz";;;
27;"P3";"IDC_Header_Straight_10pins";1;"CONN_02X05";;;
28;"U1";"SOIC-8-N";1;"MAX1771";;;
29;"C2";"C_1210_HandSoldering";1;"10uF";;;
30;"C20";"c_elec_6.3x7.7";1;"100uF";;;
31;"R3";"R_2512_HandSoldering";1;"0.05";;;
32;"R17";"R_1206_HandSoldering";1;"470k";;;
33;"Q1";"TO-220_Neutral123_Vertical";1;"IRF644PBF";;;
34;"U6";"Optocoupler_SMD_LTV-817S";1;"LTV-817";;;
35;"BT1";"smtu2032-c";1;"BATTERY";;;
36;"CON1";"161-0725-E";1;"161-0725-E";;;
37;"SW4,SW3,SW2,SW1";"FSMRA5JH";4;"SW_LPH_PUSH";;;
38;"U5";"R-78E5.0-0.5";1;"R-78E5.0-0.5";;;
39;"R16";"67ZR5KLF";1;"RVAR-TRIM";;;
40;"L1";"B82479A1104M";1;"100u";;;
41;"W3";"Test_Point_Keystone_5019_Minature";1;"TEST_1P";;;
